Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Spicejet,2019-04-24,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Indigo,2019-06-06,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3943
Indigo,2019-05-09,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,6979
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,12898
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,21:20:00,935,1.0,No Info,27992
Jet Airways,2019-05-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,12373
Air Asia,2019-06-03,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,8759
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,6883
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,3859
Jet Airways,2019-03-27,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,In-flight meal not included,2071
Air Asia,2019-06-27,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6451
Jet Airways,2019-05-18,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,12373
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,No Info,14714
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,In-flight meal not included,7341
Vistara,2019-06-03,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Indigo,2019-03-06,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4778
Spicejet,2019-03-24,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No Info,2227
Vistara,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14388
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,8452
Air India,2019-04-09,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,8341
Multiple Carriers,2019-06-15,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,8937
Air India,2019-06-27,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Indigo,2019-06-15,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Indigo,2019-05-18,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,14151
Indigo,2019-03-03,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,8049
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,07:40:00,885,1.0,No Info,13817
Multiple Carriers,2019-05-09,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,15078
Vistara,2019-05-18,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,9555
Indigo,2019-03-21,Mumbai,Hyderabad,09:10:00,10:35:00,85,0.0,No Info,4049
Jet Airways,2019-06-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14571
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,14151
Indigo,2019-06-12,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,5684
Air India,2019-03-12,Banglore,New Delhi,08:50:00,23:15:00,865,1.0,No Info,12127
Multiple Carriers,2019-06-09,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No Info,11622
Air India,2019-03-15,Banglore,New Delhi,06:55:00,23:20:00,985,1.0,No Info,6987
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,9899
Jet Airways,2019-05-01,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,22:35:00,520,1.0,No Info,14231
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,19:50:00,1430,1.0,In-flight meal not included,10844
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,11467
Air India,2019-03-06,Mumbai,Hyderabad,05:55:00,22:00:00,965,1.0,No Info,10366
Indigo,2019-03-18,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,3858
Multiple Carriers,2019-05-09,Delhi,Cochin,08:00:00,19:15:00,675,1.0,In-flight meal not included,9871
Goair,2019-04-09,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,4239
Spicejet,2019-03-09,Banglore,New Delhi,10:20:00,18:15:00,475,1.0,No Info,7294
Air India,2019-03-09,Delhi,Cochin,10:55:00,19:15:00,1940,2.0,No Info,17476
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,23:00:00,680,1.0,No Info,13555
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Indigo,2019-06-09,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6386
Air India,2019-05-15,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,10671
Jet Airways,2019-06-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Spicejet,2019-06-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Multiple Carriers,2019-03-27,Delhi,Cochin,07:10:00,22:20:00,910,1.0,No Info,6145
Air India,2019-05-12,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No Info,10203
Jet Airways,2019-03-09,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No Info,15554
Air India,2019-05-15,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8891
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,12384
Spicejet,2019-06-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3257
Multiple Carriers,2019-03-09,Delhi,Cochin,00:20:00,07:40:00,440,1.0,In-flight meal not included,13977
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Indigo,2019-03-24,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,4777
Multiple Carriers,2019-06-06,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,8266
Jet Airways,2019-06-06,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-15,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,8266
Multiple Carriers,2019-06-06,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13587
Indigo,2019-05-27,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Indigo,2019-05-03,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Air India,2019-05-06,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,13538
Indigo,2019-05-18,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Multiple Carriers,2019-06-01,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Air India,2019-06-24,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,9404
Air India,2019-04-09,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,4487
Jet Airways,2019-03-06,Delhi,Cochin,05:30:00,19:45:00,2295,2.0,In-flight meal not included,15864
Air Asia,2019-06-15,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6253
Vistara,2019-05-27,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,10844
Indigo,2019-03-18,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4462
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14571
Air India,2019-05-01,Kolkata,Banglore,09:50:00,08:55:00,1385,2.0,No Info,13227
Jet Airways,2019-03-06,Delhi,Cochin,13:55:00,04:25:00,870,1.0,No Info,15764
Spicejet,2019-06-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-05-27,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,16079
Jet Airways,2019-06-15,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,In-flight meal not included,10824
Multiple Carriers,2019-05-09,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,9103
Indigo,2019-05-06,Kolkata,Banglore,07:10:00,12:40:00,330,1.0,No Info,4864
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,15078
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,16:10:00,625,1.0,No Info,12284
Vistara,2019-03-03,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,13383
Spicejet,2019-05-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Spicejet,2019-04-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Multiple Carriers,2019-05-27,Delhi,Cochin,17:45:00,01:30:00,465,1.0,No Info,6795
Jet Airways,2019-03-12,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,No Info,13817
Air India,2019-05-24,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,15170
Jet Airways,2019-06-21,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Indigo,2019-06-27,Delhi,Cochin,16:10:00,22:30:00,380,1.0,No Info,6412
Vistara,2019-05-09,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,No Info,14151
Multiple Carriers,2019-06-27,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13587
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,13014
Multiple Carriers,2019-03-06,Delhi,Cochin,17:45:00,01:35:00,470,1.0,No Info,15147
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Indigo,2019-06-24,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,5894
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No Info,12692
Jet Airways,2019-06-15,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,12609
Air India,2019-03-09,Delhi,Cochin,04:00:00,19:15:00,915,1.0,No Info,11050
Spicejet,2019-03-24,Kolkata,Banglore,15:05:00,20:45:00,340,1.0,No Info,6197
Spicejet,2019-03-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,5515
Indigo,2019-06-15,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Air India,2019-03-06,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No Info,9417
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,In-flight meal not included,10844
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Indigo,2019-06-18,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10262
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8610
Multiple Carriers,2019-05-21,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,16655
Jet Airways,2019-06-12,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No Info,14300
Multiple Carriers,2019-03-06,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,15353
Jet Airways,2019-05-27,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,12898
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No Info,16079
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,10953
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,No Info,14388
Spicejet,2019-05-18,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,4439
Multiple Carriers,2019-06-24,Delhi,Cochin,15:15:00,01:30:00,615,1.0,In-flight meal not included,5797
Multiple Carriers,2019-05-27,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,8625
Air India,2019-04-27,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5228
Indigo,2019-06-01,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Spicejet,2019-06-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Spicejet,2019-06-09,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Multiple Carriers,2019-03-06,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,15603
Multiple Carriers,2019-05-21,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,9627
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,19:50:00,845,1.0,No Info,14781
Air India,2019-05-21,Kolkata,Banglore,08:20:00,20:25:00,725,2.0,No Info,12324
Spicejet,2019-03-24,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,6461
Indigo,2019-03-18,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,4462
Jet Airways,2019-05-27,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,12239
Spicejet,2019-05-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Indigo,2019-03-09,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6885
Air India,2019-05-21,Delhi,Cochin,20:00:00,19:15:00,1395,2.0,No Info,10861
Jet Airways,2019-03-21,Delhi,Cochin,13:55:00,18:50:00,1735,2.0,In-flight meal not included,8728
Vistara,2019-06-15,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Jet Airways,2019-06-15,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Goair,2019-04-24,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5430
Indigo,2019-03-03,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No Info,7673
Indigo,2019-06-01,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6386
Jet Airways,2019-03-27,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,No Info,5678
Air India,2019-03-09,Banglore,New Delhi,06:50:00,08:50:00,1560,1.0,No Info,5626
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,13994
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,14781
Air India,2019-04-01,Kolkata,Banglore,16:50:00,18:20:00,1530,2.0,No Info,7893
Multiple Carriers,2019-05-15,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,9103
Indigo,2019-05-27,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Air India,2019-06-24,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No Info,14388
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,19:50:00,1430,1.0,In-flight meal not included,10844
Indigo,2019-03-15,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,8855
Air India,2019-03-01,Banglore,New Delhi,08:50:00,11:10:00,1580,2.0,No Info,19372
Spicejet,2019-06-24,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,12692
Spicejet,2019-06-18,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Indigo,2019-06-09,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6938
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,21:20:00,580,1.0,In-flight meal not included,7832
Indigo,2019-06-18,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Goair,2019-04-01,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,4563
Spicejet,2019-05-09,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-03-01,Banglore,New Delhi,19:35:00,00:35:00,300,1.0,No Info,22153
Vistara,2019-03-09,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No Info,7240
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,9135
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,13626
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,14714
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,No Info,13364
Indigo,2019-05-01,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-18,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,5198
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,8452
Spicejet,2019-03-03,Delhi,Cochin,16:35:00,22:50:00,375,1.0,No Info,11726
Indigo,2019-04-24,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,4226
Jet Airways,2019-06-24,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,10262
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14781
Indigo,2019-05-18,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Spicejet,2019-05-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Air India,2019-03-03,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,11185
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,12121
Multiple Carriers,2019-03-03,Delhi,Cochin,09:45:00,22:20:00,755,1.0,No Info,13838
Air India,2019-03-06,Mumbai,Hyderabad,09:15:00,09:15:00,1440,1.0,No Info,9535
Multiple Carriers,2019-05-18,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,10197
Jet Airways,2019-06-27,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13292
Air India,2019-05-18,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,13591
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No Info,11467
Multiple Carriers,2019-05-15,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Multiple Carriers,2019-03-06,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No Info,24318
Vistara,2019-04-09,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,5403
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Indigo,2019-05-15,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Jet Airways,2019-05-09,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,15129
Air India,2019-03-03,Delhi,Cochin,19:00:00,07:40:00,760,1.0,No Info,14777
Spicejet,2019-06-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Air India,2019-05-15,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Multiple Carriers,2019-06-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Indigo,2019-06-21,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5780
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,No Info,14151
Air India,2019-05-09,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6094
Multiple Carriers,2019-03-03,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No Info,15078
Indigo,2019-03-03,Delhi,Cochin,06:40:00,22:20:00,940,1.0,No Info,11600
Multiple Carriers,2019-06-27,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,10678
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,10844
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,20:20:00,375,1.0,In-flight meal not included,11087
Air Asia,2019-05-18,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4409
Air India,2019-06-09,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,7690
